,co_volume,cv_volume,sentiment,sentiment_ste
2017-11-18,2241,0,-20.062855385622044,0.9434459840198026
2017-11-19,3611,0,-34.65000983337801,0.7227872231740415
2017-11-20,2294,0,-18.636183517837843,0.9281616159999099
2017-11-21,2997,0,-16.406259681503894,0.7849115261825831
2017-11-22,1506,0,-17.211205555823526,1.1551655859578318
2017-11-23,1923,0,-11.224298731760053,0.9759811881014478
2017-11-24,1949,0,-15.201343699777903,1.0177894385320911
2017-11-25,1849,0,-16.3584643823566,1.0159985967075806
2017-11-26,1986,0,-14.043185866912724,0.9815198919147209
2017-11-27,2237,0,-15.661359362311511,0.9897424764107696
2017-11-28,2843,0,-19.011595063517294,0.815140011658868
2017-11-29,2860,0,-17.59194843148366,0.8083438224603511
2017-11-30,2620,0,-16.413605067521644,0.8132286265166707
2017-12-01,2094,0,-9.236824315534939,0.9419013009335999
2017-12-02,1587,0,-12.192675247674394,1.1096608241815975
2017-12-03,1818,0,-15.019192540703175,1.0671598822628894
2017-12-04,2333,0,-8.462924903605874,0.8942533165575393
2017-12-05,2727,0,-7.230694068097093,0.7927551753120229
2017-12-06,2405,0,-8.60290841403406,0.8523902365470022
2017-12-07,2257,0,-7.943045502893521,0.8555123914388838
2017-12-08,1884,0,-5.5690857582295905,0.9594375204413376
2017-12-09,1510,0,-8.175276564705767,1.1198633419823893
2017-12-10,1529,0,-15.279825874496836,1.1237203972428051
2017-12-11,1965,0,-11.679594732816353,0.9837986452854596
2017-12-12,2249,0,-8.091190118513767,0.9004896462807565
2017-12-13,2192,0,-9.718181091122831,0.9273762069297609
2017-12-14,2116,0,-13.55972356532462,0.9464117487865575
2017-12-15,1745,0,-12.03292506099257,0.9963255172830767
2017-12-16,1374,0,-11.14312019928319,1.156551707891295
2017-12-17,1758,0,-13.092207667512193,1.0362700776492175
2017-12-18,2517,0,-11.773916302882329,0.8381593800972312
2017-12-19,1308,0,-10.90266806219369,1.1764773238180164
2017-12-20,2252,0,-8.460277453506137,0.8792094226950731
2017-12-21,1961,0,-11.307764599262935,0.9426982379527626
2017-12-22,1587,0,-12.739365941715095,1.111989044251835
2017-12-23,1373,0,-8.17655866898499,1.178490307619961
2017-12-24,1447,0,-4.554815289511011,1.1609062727519934
2017-12-25,1536,0,-3.3526587038518905,1.1590030300839973
2017-12-26,2186,0,-13.446198781726132,0.9479622725663568
2017-12-27,2285,0,-14.923074045897094,0.9104461198183003
2017-12-28,3109,0,-24.16376884903915,0.8011822813217803
2017-12-29,2832,0,-22.547126455669492,0.7899062308193937
2017-12-30,1892,0,-14.399320388809958,0.9877263935296399
2017-12-31,1654,0,-10.118691393653014,1.1010318923538527
2018-01-01,1694,0,-11.035927669339712,1.0616140107817615
2018-01-02,1925,0,-15.672765124619966,0.9935874232083484
2018-01-03,2413,0,-11.246698213268349,0.8585948691604793
2018-01-04,2321,0,-8.560199743028782,0.8859369733788043
2018-01-05,2247,0,-7.415578495687582,0.8831773658280352
2018-01-06,1725,0,-9.597794805008178,1.0268548517917766
2018-01-07,2236,0,-8.037317514632024,0.8263409427158374
2018-01-08,2408,0,-4.59238629738488,0.8246489095450958
2018-01-09,2192,0,-6.627305733205259,0.8601573650936325
2018-01-10,2667,0,-13.560485808573262,0.7669128841126733
2018-01-11,2280,0,-13.878534759896002,0.8620420539394028
2018-01-12,2600,0,-12.810357832701886,0.8047877305308392
2018-01-13,1640,0,-10.756368780558066,1.0725355798982001
2018-01-14,1475,0,-12.181901872214901,1.0979738408409205
2018-01-15,1916,0,-13.467798859176058,0.9826419317692761
2018-01-16,2212,0,-24.83989622576579,0.9973681148602698
